celeb,title,article_type,year,month,date,time,like,warm,sad,angry,want,cheer,congrats,expect,surprise,fan
유재석,유재석-이효리-비 '혼성그룹' 정말 탄생?…'놀면 뭐하니',연예,2020,5,22,9:14,119,102,0,2,0,0,10,0,4,1
유재석,유재석-이효리-비 '혼성그룹' 정말 탄생?…'놀면 뭐하니',연예,2020,5,22,9:14,119,102,0,2,0,0,10,0,4,1
