celeb,title,article_type,year,month,date,time,total,like,warm,sad,angry,want,cheer,congrats,expect,surprise,fan,url
방탄소년단,"방탄소년단 슈가, 갖은 논란에도 믹스테이프 ‘빌보드 200’ 11위…한국 솔로 최고기록",연예,2020,6,2,9:08,180,152,0,1,0,0,15,2,0,10,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=016&aid=0001680919
방탄소년단,"방탄소년단 뷔, '무쌍 잘 어울리는 스타' 1위...2위는?",연예,2020,6,2,14:59,6970,6800,0,8,0,0,16,8,2,136,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=003&aid=0009893728
슈가,"BTS 슈가, 대취타 앞세워 빌보드 11위…한국 신기록",생활,2020,6,2,21:47,101,78,0,0,23,0,0,0,0,0,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=437&aid=0000239565
슈가,"BTS 슈가 신곡, 美사이비교주 연설 삽입 논란 '사과'",생활,2020,6,1,9:39,756,7,3,45,691,10,0,0,0,0,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=052&aid=0001446830
슈가,BTS 슈가 솔로곡에 900여명 목숨 앗은 미 사이비 교주 음성…소속사 사과,생활,2020,6,1,10:00,4233,34,18,139,3992,50,0,0,0,0,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=028&aid=0002499335
슈가,"BTS 슈가, 짐 존스 음성 삽입한 노래 사과",생활,2020,6,1,16:40,65,0,0,3,62,0,0,0,0,0,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=015&aid=0004351653
슈가,방탄소년단 슈가 신곡으로 재조명된 '짐 존스 신도 음독자살' 사건,연예,2020,6,2,8:48,343,273,0,1,0,0,36,3,0,30,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=108&aid=0002867425
슈가,슈가 '대취타' 논란 불구 유튜브 조회수 2주연속 1위,연예,2020,5,31,21:48,340,18,0,6,0,0,22,7,2,285,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=001&aid=0011645920
슈가,"BTS 슈가 신곡, 美사이비교주 연설 삽입 논란…곡 수정후 사과",연예,2020,6,1,18:11,266,16,0,8,0,0,20,0,0,222,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=005&aid=0001327310
슈가,“음악에 바퀴벌레 덫 둔다” 신곡 논란에 재조명된 슈가 발언,연예,2020,6,1,14:59,151,3,0,10,0,0,8,1,0,129,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=018&aid=0004653824
